transaction_id,user_id,amount,transaction_date
74,706,52.62,2025-02-24
75,918,278.0,2025-01-13
76,275,15.61,2025-03-16
77,2592,112.22,2025-02-16
78,1198,183.6,2025-03-24
79,1785,68.51,2025-03-10
80,2668,96.41,2025-02-01
81,2344,96.46,2025-03-06
82,343,54.71,2025-03-30
83,1984,64.83,2025-01-26
84,2697,113.98,2025-01-27
85,582,33.09,2025-01-28
86,2545,208.02,2025-01-31
87,1478,217.26,2025-03-12
88,2517,68.68,2025-02-21
89,2632,48.12,2025-01-28
90,2543,60.58,2025-01-03
91,2872,357.41,2025-01-15
92,286,10.89,2025-02-03
93,847,160.49,2025-02-19
94,1159,141.64,2025-03-05
95,2105,15.98,2025-02-20
96,2502,91.66,2025-03-17
97,990,12.99,2025-02-24
98,257,27.62,2025-02-10
99,150,93.46,2025-03-05
100,1801,99.46,2025-03-18
101,1108,139.07,2025-03-09
102,2704,101.58,2025-01-06
103,194,118.65,2025-01-25
104,337,25.76,2025-02-28
105,2800,27.33,2025-02-14
106,37,201.47,2025-03-02
107,2572,383.77,2025-01-21
108,1797,130.96,2025-01-08
109,2793,102.65,2025-03-03
110,833,352.11,2025-01-13
111,2459,1163.35,2025-02-17
112,1807,154.63,2025-02-13
113,358,78.93,2025-01-14
114,2317,25.26,2025-03-12
115,2412,128.3,2025-02-28
116,1525,132.47,2025-03-17
117,1731,645.65,2025-03-11
118,68,553.51,2025-01-01
119,1678,40.49,2025-01-02
120,1106,244.45,2025-02-18
121,2414,36.13,2025-03-16
122,2114,693.25,2025-01-27
123,6,164.1,2025-01-19
124,2697,158.85,2025-03-30
125,49,46.71,2025-03-15
126,520,283.95,2025-01-17
127,2842,582.95,2025-01-21
128,28,119.74,2025-02-25
129,641,106.69,2025-01-01
130,309,147.79,2025-03-16
131,2290,19.01,2025-03-29
132,1199,123.35,2025-01-15
133,841,57.93,2025-01-06
134,1211,105.01,2025-01-14
135,2808,138.52,2025-01-23
136,351,194.54,2025-02-16
137,1810,257.68,2025-01-31
138,2404,95.02,2025-02-21
139,853,262.93,2025-02-27
140,2737,514.34,2025-02-19
141,2248,15.67,2025-02-06
142,124,35.65,2025-03-28
143,1974,50.48,2025-03-17
144,2010,71.9,2025-03-04
145,2811,30.27,2025-02-21
146,2333,200.36,2025-02-15
147,28,201.0,2025-03-08
148,19,29.48,2025-03-08
149,2833,161.59,2025-02-10
150,1990,613.03,2025-02-10
151,2330,387.22,2025-03-24
152,46,187.71,2025-01-07
153,2268,11.96,2025-02-24
154,2761,262.77,2025-02-27
155,91,88.58,2025-02-01
156,973,395.63,2025-02-12
157,2520,238.85,2025-01-03
158,2741,261.84,2025-02-17
159,718,411.56,2025-02-11
160,179,373.72,2025-01-12
161,575,11.49,2025-01-07
162,2544,384.51,2025-03-27
163,89,80.92,2025-03-20
164,2158,262.13,2025-01-16
165,2165,158.97,2025-03-30
166,2099,45.67,2025-02-09
167,841,691.31,2025-03-22
168,149,263.55,2025-03-26
169,1828,263.64,2025-02-06
170,2658,91.91,2025-01-06
171,787,219.9,2025-02-20
172,196,91.08,2025-03-15
173,2716,148.71,2025-01-28
174,252,178.99,2025-01-16
175,1194,342.34,2025-01-10
176,2938,49.02,2025-03-09
177,1775,14.29,2025-03-28
178,2400,467.65,2025-02-10
179,2572,154.95,2025-01-08
180,2043,1052.18,2025-03-20
181,2321,58.76,2025-02-21
182,2382,348.64,2025-01-11
183,1098,126.43,2025-02-26
184,1620,52.08,2025-01-31
185,2317,175.16,2025-01-13
186,1804,98.85,2025-02-17
187,214,81.4,2025-01-29
188,1381,64.39,2025-01-19
189,2366,75.21,2025-01-11
190,2035,175.22,2025-02-25
191,1354,205.81,2025-03-22
192,768,739.71,2025-02-19
193,1056,158.85,2025-02-10
194,2368,514.44,2025-03-01
195,2256,271.13,2025-02-28
196,2333,52.82,2025-03-27
197,271,55.79,2025-02-23
198,2163,431.06,2025-02-02
199,1427,37.59,2025-02-20
200,1582,127.46,2025-03-07
201,1274,45.34,2025-03-18
202,2800,241.86,2025-03-05
203,1121,75.75,2025-03-29
204,252,73.88,2025-02-22
205,2286,134.04,2025-02-22
206,858,12.48,2025-01-18
207,2473,13.64,2025-01-09
208,2350,164.57,2025-01-30
209,279,32.98,2025-03-04
210,1686,283.81,2025-01-16
211,487,113.64,2025-01-01
212,699,69.28,2025-03-19
213,2062,54.05,2025-01-01
214,1530,37.97,2025-01-14
215,436,344.54,2025-02-11
216,2905,214.23,2025-02-21
217,1364,47.55,2025-01-18
218,1442,140.01,2025-03-31
219,2165,42.77,2025-03-03
220,396,232.97,2025-03-13
221,436,50.47,2025-01-14
222,907,132.2,2025-03-06
223,2146,342.29,2025-02-13
224,2498,415.9,2025-01-22
225,2483,30.86,2025-03-09
226,2952,467.13,2025-03-26
227,651,22.87,2025-03-03
228,316,125.83,2025-03-15
229,2161,229.83,2025-03-25
230,2853,339.17,2025-02-16
231,582,323.2,2025-02-13
232,1865,87.38,2025-01-31
233,2741,166.46,2025-01-27
234,2572,404.83,2025-01-16
235,1548,196.21,2025-01-13
236,592,65.6,2025-03-23
237,1660,69.84,2025-01-05
238,2091,47.28,2025-01-29
239,2321,100.8,2025-02-17
240,1920,192.41,2025-02-26
241,719,298.12,2025-03-19
242,2202,292.91,2025-02-13
243,1220,235.26,2025-02-03
244,2912,541.31,2025-03-08
245,959,19.6,2025-01-17
246,277,67.45,2025-02-13
247,617,89.25,2025-01-17
248,802,237.3,2025-02-23
249,2260,135.82,2025-01-04
250,1798,212.54,2025-03-28
251,2181,81.0,2025-03-25
252,660,36.14,2025-03-31
253,2671,271.17,2025-03-22
254,1407,135.66,2025-03-24
255,2552,363.09,2025-03-14
256,751,22.53,2025-02-15
257,316,657.46,2025-01-13
258,1736,85.6,2025-03-10
259,1714,430.81,2025-01-16
260,2279,332.02,2025-03-14
261,946,65.68,2025-02-01
262,1289,16.87,2025-02-10
263,1882,181.5,2025-03-26
264,413,131.52,2025-01-21
265,1815,254.07,2025-01-21
266,1748,14.72,2025-03-13
267,345,228.74,2025-01-08
268,299,72.6,2025-03-23
269,2249,55.1,2025-03-12
270,1097,96.36,2025-03-26
271,1677,22.08,2025-01-08
272,2518,48.79,2025-02-08
273,2938,78.05,2025-01-16
274,2668,50.98,2025-02-07
275,2732,77.58,2025-01-30
276,1894,232.86,2025-03-26
277,1849,342.2,2025-03-02
278,1732,659.17,2025-03-14
279,2337,241.73,2025-01-07
280,1804,420.24,2025-02-23
281,247,98.61,2025-03-27
282,2122,76.12,2025-03-28
283,1769,407.61,2025-03-18
284,2508,675.7,2025-01-24
285,1540,668.38,2025-02-12
286,2869,220.76,2025-02-26
287,1587,95.01,2025-02-16
288,361,834.8,2025-02-25
289,2324,462.26,2025-03-20
290,1575,15.06,2025-01-28
291,451,141.48,2025-02-01
292,404,310.2,2025-03-04
293,2407,209.64,2025-03-31
294,1685,90.15,2025-03-09
295,93,148.51,2025-02-17
296,2238,235.07,2025-02-15
297,1174,685.81,2025-03-29
298,2793,56.8,2025-02-04
299,200,618.14,2025-01-15
300,2905,161.24,2025-01-11
301,411,31.58,2025-01-04
302,1660,473.81,2025-03-07
303,2501,376.7,2025-03-23
304,139,145.55,2025-02-04
305,465,356.48,2025-03-13
306,231,194.02,2025-02-18
307,2043,204.29,2025-03-25
308,1606,821.5,2025-03-14
309,8,91.44,2025-02-21
310,200,73.27,2025-01-02
311,1833,50.39,2025-02-05
312,1342,199.79,2025-03-31
313,2391,655.03,2025-02-09
314,231,67.99,2025-02-13
315,2366,202.79,2025-03-29
316,2497,231.21,2025-03-31
317,61,301.69,2025-03-21
318,907,63.2,2025-03-24
319,2742,209.34,2025-01-09
320,2348,15.99,2025-01-05
321,1096,28.5,2025-03-15
322,1452,182.57,2025-01-18
323,2214,163.97,2025-03-08
324,2939,111.79,2025-03-19
325,2205,291.48,2025-03-07
326,1867,209.56,2025-03-06
327,2461,105.3,2025-01-10
328,910,540.49,2025-02-16
329,1244,37.48,2025-01-30
330,2617,47.44,2025-03-04
331,1305,125.33,2025-03-14
332,1015,520.69,2025-01-27
333,2647,48.69,2025-01-16
334,928,565.2,2025-03-01
335,2652,149.57,2025-01-14
336,279,345.18,2025-03-10
337,2091,453.34,2025-03-12
338,171,208.59,2025-01-28
339,2655,20.99,2025-01-19
340,1550,256.5,2025-02-18
341,1875,346.49,2025-03-05
342,2729,98.05,2025-03-20
343,243,191.35,2025-03-23
344,987,229.16,2025-03-18
345,2813,524.29,2025-02-26
346,1381,96.41,2025-01-14
347,393,37.95,2025-01-22
348,2551,343.22,2025-02-02
349,677,620.09,2025-02-27
350,837,895.88,2025-01-27
351,1894,408.0,2025-02-08
352,527,68.59,2025-02-08
353,2845,329.0,2025-02-01
354,2924,405.03,2025-03-26
355,1660,456.09,2025-02-16
356,592,254.74,2025-02-16
357,2806,484.06,2025-03-08
358,1512,55.01,2025-03-04
359,1938,59.94,2025-01-30
360,961,71.14,2025-02-08
361,2591,180.97,2025-03-27
362,2316,30.41,2025-01-30
363,1259,265.57,2025-02-01
364,2810,844.4,2025-02-19
365,1479,252.91,2025-01-09
366,1788,378.35,2025-01-24
367,2544,69.07,2025-02-18
368,1417,547.08,2025-01-08
369,903,795.41,2025-02-26
370,1442,440.79,2025-01-23
371,1558,388.53,2025-01-06
372,2326,268.92,2025-03-21
373,2544,351.17,2025-02-15
374,68,90.91,2025-02-05
375,2819,83.06,2025-01-15
376,139,313.66,2025-03-15
377,1077,87.35,2025-02-15
378,2523,87.62,2025-01-22
379,2034,342.01,2025-03-13
380,1515,1567.53,2025-01-29
381,1199,10.73,2025-01-04
382,2222,162.77,2025-02-12
383,2178,92.9,2025-02-23
384,1586,184.36,2025-03-13
385,499,107.63,2025-03-02
386,1375,36.08,2025-01-06
387,1920,40.93,2025-03-10
388,2646,533.59,2025-03-10
389,432,26.8,2025-02-09
390,1317,62.35,2025-02-01
391,2804,44.81,2025-02-23
392,2912,36.66,2025-02-21
393,718,401.58,2025-03-09
394,2181,435.68,2025-01-08
395,647,93.54,2025-03-28
396,1881,229.36,2025-01-21
397,2972,248.57,2025-01-08
398,2326,193.33,2025-01-27
399,1733,108.6,2025-03-13
400,2007,100.07,2025-02-09
401,2307,72.36,2025-03-06
402,2249,362.87,2025-02-07
403,2520,432.35,2025-01-30
404,2965,66.0,2025-01-11
405,2361,40.86,2025-03-20
406,749,551.48,2025-03-31
407,2808,68.57,2025-03-15
408,1749,276.63,2025-01-17
409,1727,51.41,2025-01-27
410,1308,131.62,2025-01-16
411,2350,132.05,2025-02-25
412,2368,73.94,2025-03-31
413,1231,20.78,2025-01-17
414,2929,50.3,2025-03-12
415,359,234.4,2025-01-05
416,2131,714.69,2025-02-12
417,457,37.13,2025-02-27
418,1317,278.95,2025-02-09
419,1695,106.12,2025-02-14
420,56,156.75,2025-03-07
421,942,60.53,2025-02-12
422,244,144.47,2025-02-24
423,2788,117.04,2025-02-24
424,2025,312.1,2025-03-12
425,2058,393.74,2025-02-09
426,9,100.21,2025-01-30
427,2788,50.57,2025-01-10
428,2710,64.37,2025-01-06
429,642,65.22,2025-03-17
430,2402,136.03,2025-02-11
431,1224,302.18,2025-01-22
432,844,113.71,2025-01-27
433,2087,51.88,2025-01-04
434,2467,69.77,2025-03-02
435,1330,225.26,2025-03-09
436,2290,19.27,2025-01-10
437,1850,335.45,2025-02-13
438,2391,45.96,2025-02-07
439,55,793.15,2025-03-02
440,1851,520.03,2025-02-07
441,653,46.61,2025-01-18
442,1190,212.06,2025-01-14
443,2232,66.62,2025-01-06
444,964,391.49,2025-03-29
445,2720,52.41,2025-03-07
446,1673,21.4,2025-02-05
447,1841,318.85,2025-01-22
448,1867,234.85,2025-01-31
449,2711,121.69,2025-01-25
450,2032,22.9,2025-03-02
451,1262,91.06,2025-01-05
452,2628,49.95,2025-02-27
453,299,184.2,2025-02-23
454,1262,281.51,2025-01-25
455,2438,540.23,2025-02-19
456,1985,258.93,2025-01-08
457,2946,477.19,2025-03-12
458,2986,206.73,2025-03-18
459,555,349.43,2025-02-12
460,823,157.91,2025-01-30
461,1677,87.19,2025-02-08
462,192,121.7,2025-02-13
463,2670,60.29,2025-03-27
464,1000,257.74,2025-02-14
465,26,131.26,2025-02-18
466,1943,188.87,2025-02-02
467,2224,143.84,2025-02-07
468,1477,369.07,2025-03-19
469,1582,492.45,2025-01-28
470,2851,165.31,2025-01-08
471,9,101.98,2025-02-13
472,557,134.37,2025-02-08
473,1160,116.21,2025-02-17
474,39,65.48,2025-01-15
475,2298,150.65,2025-03-20
476,2649,219.04,2025-02-27
477,2119,255.31,2025-01-19
478,1582,101.96,2025-03-19
479,2317,179.31,2025-01-02
480,2411,71.28,2025-03-19
481,1776,19.71,2025-03-07
482,945,767.32,2025-02-16
483,2716,135.53,2025-02-15
484,363,533.68,2025-01-30
485,1207,376.35,2025-03-25
486,44,427.55,2025-03-29
487,2771,16.52,2025-02-23
488,857,155.2,2025-02-26
489,2738,282.36,2025-02-27
490,2,319.6,2025-02-05
491,2260,11.56,2025-02-07
492,2617,211.38,2025-03-05
493,2479,480.02,2025-01-04
494,945,91.48,2025-01-01
495,828,344.86,2025-01-09
496,2039,156.26,2025-01-23
497,973,446.21,2025-02-19
498,666,34.15,2025-03-03
499,871,185.57,2025-03-27
500,2226,13.8,2025-01-05
501,2856,457.07,2025-01-01
502,2256,45.16,2025-02-27
503,2361,584.55,2025-02-03
504,71,17.35,2025-02-06
505,1723,303.97,2025-02-26
506,2538,97.48,2025-03-04
507,1586,79.37,2025-02-20
508,696,194.29,2025-01-08
509,1541,492.34,2025-02-21
510,908,71.68,2025-03-14
511,788,190.64,2025-02-06
512,2153,284.51,2025-01-20
513,2264,220.05,2025-02-15
514,1469,89.72,2025-03-05
515,958,23.2,2025-02-09
516,19,510.69,2025-01-14
517,451,599.54,2025-02-26
518,804,242.58,2025-03-18
519,258,154.68,2025-01-15
520,2571,50.09,2025-01-04
521,819,200.72,2025-02-08
522,557,48.59,2025-03-02
523,581,48.39,2025-01-28
524,962,23.56,2025-02-09
525,1862,176.2,2025-02-16
526,678,381.2,2025-02-06
527,1490,120.63,2025-02-13
528,116,247.7,2025-01-14
529,483,208.09,2025-03-07
530,2165,433.97,2025-02-12
531,145,39.18,2025-02-23
532,1160,760.8,2025-02-03
533,2174,288.43,2025-01-15
534,795,51.44,2025-01-15
535,2707,467.69,2025-02-14
536,1212,134.46,2025-01-03
537,2282,112.04,2025-02-08
538,489,133.86,2025-02-16
539,76,350.24,2025-03-21
540,1679,96.01,2025-03-22
541,1791,166.33,2025-01-05
542,627,552.56,2025-01-22
543,1943,202.48,2025-01-29
544,2467,35.43,2025-02-08
545,1575,40.47,2025-03-27
546,49,89.87,2025-02-07
547,316,438.38,2025-02-01
548,1984,46.65,2025-03-27
549,2291,280.11,2025-01-08
550,243,93.3,2025-02-15
551,861,17.85,2025-03-11
552,1861,100.65,2025-02-17
553,1866,213.18,2025-02-01
554,1108,170.9,2025-02-17
555,298,79.39,2025-02-18
556,2813,280.13,2025-01-03
557,1689,416.94,2025-03-10
558,1507,96.05,2025-02-17
559,1479,567.45,2025-02-26
560,2243,128.46,2025-01-13
561,958,161.63,2025-03-08
562,946,736.54,2025-01-07
563,1158,197.9,2025-01-31
564,1623,166.61,2025-01-11
565,625,50.85,2025-01-27
566,2456,451.99,2025-01-16
567,2859,295.43,2025-02-28
568,1697,47.82,2025-03-26
569,1044,363.85,2025-03-27
570,808,86.37,2025-02-13
571,2032,149.32,2025-03-03
572,2817,208.45,2025-02-14
573,923,79.77,2025-03-22
574,1770,276.27,2025-01-28
575,1755,92.4,2025-01-13
576,2788,50.41,2025-02-06
577,1689,115.88,2025-03-16
578,1089,76.54,2025-01-20
579,941,80.26,2025-02-07
580,2742,99.76,2025-01-02
581,2054,81.7,2025-03-02
582,2509,208.74,2025-03-28
583,2840,444.87,2025-03-22
584,1333,323.08,2025-02-06
585,949,355.7,2025-02-10
586,1852,168.99,2025-03-12
587,2968,135.36,2025-01-18
588,2856,184.55,2025-02-14
589,405,33.58,2025-03-17
590,561,87.15,2025-02-08
591,61,242.85,2025-02-01
592,2924,315.82,2025-01-26
593,1966,152.42,2025-02-05
594,1865,42.73,2025-02-12
595,28,97.51,2025-03-08
596,1915,54.54,2025-02-21
597,1967,85.48,2025-03-22
598,143,647.51,2025-01-30
599,2917,461.35,2025-01-27
600,2260,368.96,2025-01-26
601,2583,425.03,2025-01-27
602,1468,230.45,2025-01-13
603,2640,484.16,2025-01-03
604,280,98.67,2025-01-06
605,1153,67.17,2025-01-11
606,1462,216.27,2025-01-05
607,1204,42.04,2025-01-21
608,2593,46.51,2025-02-15
609,306,340.33,2025-01-01
610,1204,238.21,2025-03-31
611,1385,147.24,2025-02-02
612,243,968.16,2025-02-24
613,2049,168.82,2025-02-22
614,1225,316.51,2025-01-06
615,2113,487.6,2025-01-27
616,1355,62.37,2025-03-10
617,2554,124.03,2025-01-14
618,768,315.77,2025-01-09
619,2415,178.52,2025-02-14
620,240,47.6,2025-03-26
621,2785,205.4,2025-01-10
622,1903,18.79,2025-02-02
623,1306,10.8,2025-01-25
624,1684,97.48,2025-02-11
625,384,74.01,2025-03-11
626,2181,314.63,2025-02-28
627,2321,237.39,2025-02-26
628,458,163.18,2025-03-20
629,1105,182.12,2025-02-09
630,2770,109.01,2025-03-09
631,1457,198.81,2025-02-11
632,1927,109.91,2025-01-26
633,677,132.27,2025-02-18
634,74,481.66,2025-01-09
635,2478,22.09,2025-03-24
636,2364,178.7,2025-01-05
637,815,303.63,2025-03-17
638,2344,34.46,2025-01-07
639,1020,279.54,2025-01-21
640,1099,319.79,2025-03-29
641,1404,909.63,2025-03-02
642,1400,100.15,2025-01-05
643,1108,304.56,2025-01-30
644,2854,61.78,2025-02-17
645,1942,14.02,2025-01-17
646,44,487.8,2025-02-26
647,1687,217.3,2025-02-02
648,965,401.28,2025-01-18
649,2695,97.1,2025-03-21
650,1802,194.41,2025-03-26
651,2683,469.49,2025-03-31
652,1238,72.53,2025-03-07
653,1758,219.42,2025-01-04
654,2807,164.65,2025-02-04
655,1906,255.29,2025-03-04
656,348,188.19,2025-02-07
657,133,153.38,2025-02-04
658,836,721.25,2025-02-15
659,1901,339.97,2025-01-20
660,1903,219.76,2025-02-14
661,252,46.78,2025-02-18
662,351,432.53,2025-01-11
663,1487,132.78,2025-01-09
664,608,152.3,2025-03-12
665,2582,147.91,2025-01-10
666,684,529.35,2025-01-17
667,1102,77.29,2025-02-17
668,1321,205.0,2025-01-09
669,907,440.31,2025-03-05
670,935,12.52,2025-02-06
671,1997,455.92,2025-02-04
672,1451,182.45,2025-01-24
673,2621,134.86,2025-01-19
674,951,529.3,2025-02-23
675,902,85.71,2025-01-07
676,2839,130.15,2025-03-05
677,2411,455.59,2025-02-20
678,1223,111.67,2025-03-08
679,956,471.84,2025-01-25
680,1780,96.03,2025-03-06
681,808,38.96,2025-03-09
682,827,156.96,2025-01-22
683,964,277.31,2025-02-13
684,554,56.68,2025-03-01
685,2706,61.56,2025-02-08
686,1199,229.76,2025-02-28
687,1643,47.12,2025-02-12
688,2889,159.32,2025-02-11
689,597,123.93,2025-01-12
690,2670,706.79,2025-01-16
691,1206,50.39,2025-03-20
692,144,446.59,2025-02-13
693,1702,45.13,2025-02-16
694,289,214.68,2025-01-10
695,2520,604.59,2025-01-02
696,2945,396.05,2025-02-19
697,1131,20.77,2025-03-19
698,1432,94.99,2025-03-28
699,1684,84.87,2025-02-02
700,275,282.63,2025-02-03
701,1563,342.9,2025-02-19
702,250,437.37,2025-03-08
703,343,111.97,2025-03-09
704,827,165.03,2025-01-27
705,2284,136.42,2025-03-24
706,2166,11.77,2025-02-25
707,970,93.48,2025-02-13
708,493,154.48,2025-03-10
709,639,217.4,2025-02-23
710,511,193.26,2025-02-17
711,649,271.09,2025-01-27
712,2643,246.9,2025-01-23
713,1433,745.71,2025-03-21
714,350,88.7,2025-02-07
715,1061,309.76,2025-02-11
716,340,26.48,2025-02-04
717,2867,111.52,2025-03-28
718,2019,412.59,2025-02-05
719,1151,238.02,2025-01-28
720,329,214.41,2025-01-08
721,2869,377.76,2025-02-09
722,250,67.1,2025-01-12
723,719,131.98,2025-03-06
724,246,213.06,2025-03-04
725,1472,412.21,2025-02-21
726,1471,36.37,2025-01-29
727,1310,42.92,2025-01-30
728,2105,919.98,2025-03-22
729,1575,76.08,2025-03-06
730,2458,53.99,2025-03-01
731,1818,45.05,2025-01-09
732,434,209.09,2025-03-03
733,784,284.78,2025-01-17
734,1832,204.23,2025-02-26
735,391,12.53,2025-01-09
736,312,24.57,2025-02-10
737,727,165.63,2025-03-21
738,182,16.83,2025-03-25
739,211,132.14,2025-02-06
740,1833,402.16,2025-02-02
741,970,63.03,2025-02-13
742,818,73.52,2025-03-05
743,997,70.59,2025-03-26
744,2481,110.47,2025-01-09
745,2909,194.64,2025-02-23
746,1061,147.71,2025-01-17
747,2882,66.04,2025-02-13
748,754,653.0,2025-03-25
749,1477,342.63,2025-02-05
750,1056,367.82,2025-01-02
751,298,68.44,2025-03-26
752,1390,177.84,2025-03-23
753,2367,54.61,2025-03-16
754,130,27.41,2025-01-04
755,983,125.23,2025-03-11
756,1228,57.1,2025-03-13
757,1741,24.66,2025-03-24
758,2202,168.97,2025-03-15
759,2113,149.13,2025-02-28
760,960,52.62,2025-01-12
761,2292,49.88,2025-01-08
762,625,33.43,2025-03-24
763,1931,165.67,2025-01-31
764,1963,172.57,2025-03-19
765,1879,12.84,2025-01-29
766,1451,96.04,2025-01-19
767,1828,50.05,2025-03-06
768,907,326.85,2025-03-17
769,2599,28.81,2025-03-17
770,1461,18.13,2025-02-05
771,1398,191.52,2025-03-16
772,58,865.1,2025-02-14
773,1906,218.44,2025-01-02
774,208,187.44,2025-03-24
775,2853,193.26,2025-01-08
776,1204,269.0,2025-03-01
777,1094,147.95,2025-03-15
778,252,112.03,2025-02-10
779,683,61.31,2025-01-03
780,2664,221.85,2025-02-23
781,1567,94.69,2025-02-13
782,2855,314.54,2025-02-24
783,1823,569.24,2025-01-13
784,2999,278.59,2025-02-15
785,2294,287.9,2025-01-31
786,2851,563.42,2025-01-15
787,787,187.92,2025-03-07
788,899,10.56,2025-01-09
789,474,51.84,2025-01-26
790,149,248.9,2025-02-07
791,415,199.15,2025-02-19
792,1905,522.27,2025-03-02
793,2833,50.19,2025-01-25
794,2229,124.27,2025-01-05
795,1044,111.53,2025-02-26
796,1204,159.66,2025-02-25
797,639,328.68,2025-02-25
798,912,82.32,2025-02-25
799,615,375.86,2025-03-14
800,2856,24.47,2025-03-27
801,2794,56.3,2025-03-13
802,2670,42.44,2025-03-12
803,2005,29.46,2025-01-19
804,2949,200.29,2025-02-15
805,2370,120.08,2025-03-14
806,1817,487.78,2025-01-18
807,2137,53.77,2025-03-18
808,1000,89.16,2025-01-02
809,799,63.43,2025-02-08
810,1274,389.99,2025-01-28
811,2917,262.23,2025-01-03
812,231,153.78,2025-03-03
813,1255,63.95,2025-01-25
814,1342,191.86,2025-03-22
815,981,580.62,2025-01-14
816,656,299.5,2025-01-14
817,1044,449.76,2025-01-19
818,526,39.3,2025-01-07
819,675,14.15,2025-02-14
820,1417,410.89,2025-02-10
821,1471,41.87,2025-01-19
822,966,262.84,2025-02-04
823,1841,25.68,2025-01-25
824,1465,240.67,2025-03-18
825,2582,177.7,2025-03-31
826,653,90.51,2025-02-09
827,1967,15.43,2025-02-09
828,2949,14.73,2025-01-15
829,1044,529.97,2025-03-17
830,646,352.88,2025-03-10
831,2205,249.51,2025-03-26
832,402,404.75,2025-02-04
833,2508,163.42,2025-02-17
834,2682,76.34,2025-02-28
835,2620,198.47,2025-01-30
836,719,215.06,2025-03-14
837,2389,32.41,2025-03-01
838,415,249.35,2025-01-13
839,2651,350.05,2025-03-01
840,863,101.01,2025-03-28
841,2082,640.6,2025-01-27
842,907,207.13,2025-01-09
843,681,128.54,2025-02-23
844,2572,158.72,2025-03-02
845,1903,11.7,2025-03-18
846,134,86.85,2025-03-23
847,2272,91.82,2025-01-26
848,989,108.89,2025-01-14
849,2790,272.04,2025-03-19
850,2530,65.81,2025-01-13
851,259,57.23,2025-03-29
852,2620,17.96,2025-02-10
853,2939,489.79,2025-02-28
854,316,24.7,2025-02-07
855,2723,386.66,2025-01-03
856,2277,479.27,2025-02-03
857,520,59.2,2025-03-21
858,294,505.47,2025-02-26
859,3000,369.47,2025-03-23
860,802,10.35,2025-01-24
861,956,311.69,2025-03-19
862,275,182.77,2025-02-12
863,1685,90.36,2025-02-12
864,2958,23.04,2025-02-20
865,2287,93.97,2025-01-30
866,1287,245.99,2025-02-10
867,956,46.24,2025-03-31
868,723,277.39,2025-01-29
869,2099,21.41,2025-01-17
870,2735,177.36,2025-01-28
871,2848,294.43,2025-01-13
872,2017,71.48,2025-01-13
873,2498,98.45,2025-01-31
874,256,36.92,2025-01-25
875,958,109.54,2025-02-16
876,1490,327.79,2025-02-22
877,2411,18.58,2025-01-26
878,1399,84.73,2025-02-21
879,2578,288.31,2025-02-05
880,1168,958.24,2025-03-28
881,2361,67.86,2025-03-04
882,61,343.46,2025-02-16
883,1715,133.36,2025-03-29
884,2791,58.6,2025-02-13
885,2771,150.28,2025-03-28
886,2229,468.79,2025-01-21
887,1457,44.84,2025-03-25
888,2149,79.63,2025-03-11
889,115,223.37,2025-01-24
890,2951,414.35,2025-02-02
891,2591,311.66,2025-02-21
